Transaction_ID,Customer_ID,Invoice_Number,Transaction_Date,Invoice_Amount,Payment_Date,Discount_Applied,Refund_Issued,Transaction_Type,Anomaly_Tag
T100000,C6727,INV10000,03/05/2024,1935.25,14/05/2024,275.98,141.66,Payment,Normal
T100001,C9408,INV10001,20/06/2024,3033.43,05/07/2024,70.99,47.32,Payment,Normal
T100002,C9253,INV10002,14/02/2024,384.61,28/02/2024,49.97,23.12,Payment,Normal
T100003,C8384,INV10003,14/03/2024,3569.56,05/04/2024,11.02,346.22,Payment,Normal
T100004,C4239,INV10004,20/12/2024,4178.97,23/12/2024,133.1,75.98,Payment,Normal
T100005,C4467,INV10005,28/04/2024,998.68,06/05/2024,45.58,52.41,Payment,Normal
T100006,C7453,INV10006,04/10/2024,2216.53,29/10/2024,96.83,135.62,Payment,Normal
T100007,C6899,INV10007,13/04/2024,783.52,05/05/2024,34.34,28.71,Payment,Normal
T100008,C9932,INV10008,28/11/2024,2334.74,25/12/2024,274.98,46.62,Payment,Normal
T100009,C9747,INV10009,03/11/2024,2619.75,08/11/2024,232.8,12.17,Payment,Normal
T100010,C8026,INV10010,06/11/2024,3076.97,07/11/2024,78.7,20.02,Payment,Normal
T100011,C4312,INV10011,11/09/2024,4749.54,16/09/2024,687.95,383.95,Payment,Normal
T100012,C6249,INV10012,03/03/2024,1592.61,14/03/2024,23.33,108.97,Payment,Normal
T100013,C8252,INV10013,18/02/2024,2256.75,14/03/2024,41.31,111.75,Payment,Normal
T100014,C1890,INV10014,26/06/2024,268.5,12/07/2024,36.62,6.95,Payment,Normal
T100015,C6318,INV10015,29/09/2024,3346.36,14/10/2024,156.46,174.03,Payment,Normal
T100016,C7941,INV10016,04/11/2024,2778.88,16/11/2024,77.05,269.44,Payment,Normal
T100017,C4171,INV10017,21/05/2024,3898.15,18/06/2024,549.35,348.82,Payment,Normal
T100018,C8895,INV10018,15/05/2024,3029.71,29/05/2024,418.95,26.81,Payment,Normal
T100019,C4943,INV10019,30/07/2024,1060.32,09/08/2024,7.19,34.5,Payment,Normal
T100020,C5319,INV10020,05/06/2024,2004.52,05/06/2024,81.59,166.12,Payment,Normal
T100021,C6225,INV10021,19/01/2024,1848.09,17/02/2024,77.88,100.3,Payment,Normal
T100022,C9044,INV10022,17/02/2024,790.53,21/02/2024,95.12,5.89,Payment,Normal
T100023,C2393,INV10023,22/02/2024,4935.75,04/03/2024,571.74,98.08,Payment,Normal
T100024,C2053,INV10024,06/09/2024,127.06,10/09/2024,15.54,8.98,Payment,Normal
T100025,C2536,INV10025,21/01/2024,3672.14,10/02/2024,424.83,27.19,Payment,Normal
T100026,C6629,INV10026,12/11/2024,1856.48,09/12/2024,32.27,160.23,Payment,Normal
T100027,C2331,INV10027,14/12/2024,3154.16,24/12/2024,156.56,20.05,Payment,Normal
T100028,C5152,INV10028,19/03/2024,1623.81,22/03/2024,79.21,118.47,Payment,Normal
T100029,C5917,INV10029,25/11/2024,3224.03,22/12/2024,429.06,152.24,Payment,Normal
T100030,C4593,INV10030,22/10/2024,686.01,14/11/2024,73.39,52.19,Payment,Normal
T100031,C8789,INV10031,04/08/2024,2850.26,30/08/2024,329.62,140.74,Payment,Normal
T100032,C6387,INV10032,01/11/2024,2661.39,03/11/2024,170.68,6.77,Payment,Normal
T100033,C8755,INV10033,13/02/2024,628.67,03/03/2024,2.96,40.01,Payment,Normal
